UserId,TravelMode,Attraction,Type,Rating_Level,Rating
13815,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
15747,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
83027,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
61967,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
43397,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
62162,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
46106,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
67109,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
52528,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
22907,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
37425,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
41203,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
20065,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
73245,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
73646,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
84875,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
23629,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
30759,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
1684,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
68604,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
58348,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
54465,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
75591,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
61160,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
19406,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
69671,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
88159,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
46158,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
65716,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
26929,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
19138,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
54930,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
